vce_v,ib_ua,ic_ma,beta_calculated,region
0.0,10,0.00,0.0,saturation
0.2,10,0.45,45.0,saturation
0.5,10,0.98,98.0,active
1.0,10,1.02,102.0,active
2.0,10,1.05,105.0,active
4.0,10,1.08,108.0,active
6.0,10,1.10,110.0,active
0.0,20,0.00,0.0,saturation
0.2,20,0.88,44.0,saturation
0.5,20,1.95,97.5,active
1.0,20,2.04,102.0,active
2.0,20,2.10,105.0,active
4.0,20,2.15,107.5,active
6.0,20,2.20,110.0,active
0.0,30,0.00,0.0,saturation
0.2,30,1.35,45.0,saturation
0.5,30,2.92,97.3,active
1.0,30,3.06,102.0,active
2.0,30,3.15,105.0,active
4.0,30,3.22,107.3,active
6.0,30,3.30,110.0,active
